,type,genotype,N,mean,sd,se,gene,log2Mean,lineGroup
158,Ambr,tf2,4,9.419689757,5.992994543,2.996497272,Solyc01g008250,3.235679545,tf2.Solyc01g008250
159,Ambr,wt,3,3.176627568,1.432593841,0.82710844,Solyc01g008250,1.667495956,wt.Solyc01g008250
160,Aother,tf2,4,2.160766831,1.987046464,0.993523232,Solyc01g008250,1.111543399,tf2.Solyc01g008250
161,Aother,wt,5,8.308428477,5.199134125,2.325123465,Solyc01g008250,3.05457562,wt.Solyc01g008250
162,Bmbr,tf2,3,2.094867344,1.724951139,0.995901004,Solyc01g008250,1.066858889,tf2.Solyc01g008250
163,Bmbr,wt,4,3.742802274,2.050738859,1.025369429,Solyc01g008250,1.904118835,wt.Solyc01g008250
164,Bother,tf2,4,8.486476395,3.991447341,1.99572367,Solyc01g008250,3.085165668,tf2.Solyc01g008250
165,Bother,wt,4,4.819612613,4.017586265,2.008793133,Solyc01g008250,2.268917191,wt.Solyc01g008250
166,Cmbr,tf2,4,6.624888659,8.717799255,4.358899627,Solyc01g008250,2.727896208,tf2.Solyc01g008250
167,Cmbr,wt,6,5.195339524,2.183481611,0.891402635,Solyc01g008250,2.377218035,wt.Solyc01g008250
168,Cother,tf2,4,7.373978325,4.092894688,2.046447344,Solyc01g008250,2.882443176,tf2.Solyc01g008250
169,Cother,wt,3,7.353268736,1.902953994,1.098671001,Solyc01g008250,2.878385711,wt.Solyc01g008250
170,Ambr,tf2,4,88.81240938,35.99686234,17.99843117,Solyc01g008600,6.472689367,tf2.Solyc01g008600
171,Ambr,wt,3,128.6078042,18.27889195,10.55332319,Solyc01g008600,7.00683438,wt.Solyc01g008600
172,Aother,tf2,4,117.4492432,32.10961236,16.05480618,Solyc01g008600,6.875893607,tf2.Solyc01g008600
173,Aother,wt,5,139.4268782,46.38982627,20.746161,Solyc01g008600,7.123364895,wt.Solyc01g008600
174,Bmbr,tf2,3,114.0025713,63.07261168,36.41498933,Solyc01g008600,6.832922555,tf2.Solyc01g008600
175,Bmbr,wt,4,131.3532057,36.35211168,18.17605584,Solyc01g008600,7.0373076,wt.Solyc01g008600
176,Bother,tf2,4,137.3717589,39.09438459,19.54719229,Solyc01g008600,7.101941633,tf2.Solyc01g008600
177,Bother,wt,4,104.97057,53.38852048,26.69426024,Solyc01g008600,6.713841095,wt.Solyc01g008600
178,Cmbr,tf2,4,97.63477424,53.92524289,26.96262144,Solyc01g008600,6.609323174,tf2.Solyc01g008600
179,Cmbr,wt,6,124.5381677,27.51797738,11.23416722,Solyc01g008600,6.960444149,wt.Solyc01g008600
180,Cother,tf2,4,144.6628072,55.4105594,27.7052797,Solyc01g008600,7.176550243,tf2.Solyc01g008600
181,Cother,wt,3,111.8344929,9.957141372,5.748758252,Solyc01g008600,6.805221414,wt.Solyc01g008600
182,Ambr,tf2,4,2.803902838,1.884667039,0.942333519,Solyc01g008920,1.487436357,tf2.Solyc01g008920
183,Ambr,wt,3,2.259831638,0.39564532,0.228425932,Solyc01g008920,1.176215293,wt.Solyc01g008920
184,Aother,tf2,4,45.54050972,65.63234252,32.81617126,Solyc01g008920,5.509078534,tf2.Solyc01g008920
185,Aother,wt,5,3.131427825,0.916796638,0.410003921,Solyc01g008920,1.646820627,wt.Solyc01g008920
186,Bmbr,tf2,3,2.419896741,1.336895602,0.771857035,Solyc01g008920,1.274945488,tf2.Solyc01g008920
187,Bmbr,wt,4,1.947107523,2.230830444,1.115415222,Solyc01g008920,0.961332555,wt.Solyc01g008920
188,Bother,tf2,4,4.094626649,2.766247247,1.383123623,Solyc01g008920,2.033731912,tf2.Solyc01g008920
189,Bother,wt,4,1.47898499,0.931553911,0.465776956,Solyc01g008920,0.56460741,wt.Solyc01g008920
190,Cmbr,tf2,4,3.772844547,3.510486252,1.755243126,Solyc01g008920,1.915652658,tf2.Solyc01g008920
191,Cmbr,wt,6,3.024046387,3.938139653,1.607738781,Solyc01g008920,1.59648027,wt.Solyc01g008920
