"ITAG","cluster"
"Solyc01g105540",11
"Solyc01g105605",22
"Solyc01g105720",25
"Solyc01g105730",22
"Solyc01g105740",11
"Solyc01g105823",11
"Solyc01g105893",4
"Solyc01g105910",11
"Solyc01g105920",11
"Solyc01g105930",11
"Solyc01g106070",18
"Solyc01g106105",18
"Solyc01g106130",18
"Solyc01g106140",18
"Solyc01g106150",18
"Solyc01g106170",18
"Solyc01g106215",11
"Solyc01g106310",18
"Solyc01g106460",18
"Solyc01g106490",17
"Solyc01g106690",20
"Solyc01g106730",18
"Solyc01g106910",25
"Solyc01g107220",11
"Solyc01g107415",19
"Solyc01g107430",20
"Solyc01g107640",11
"Solyc01g107650",26
"Solyc01g107670",32
"Solyc01g107710",18
"Solyc01g107740",22
"Solyc01g107890",13
"Solyc01g107933",11
"Solyc01g107970",11
"Solyc01g108010",11
"Solyc01g108090",28
"Solyc01g108510",11
"Solyc01g108530",11
"Solyc01g108620",2
"Solyc01g108630",25
"Solyc01g108640",11
"Solyc01g108790",11
"Solyc01g108810",11
"Solyc01g108820",11
"Solyc01g108830",11
"Solyc01g108860",11
"Solyc01g108870",11
"Solyc01g108880",11
"Solyc01g108935",18
"Solyc01g108950",11
"Solyc01g108973",11
"Solyc01g108977",12
"Solyc01g109010",21
"Solyc01g109020",11
"Solyc01g109030",11
"Solyc01g109170",2
"Solyc01g109180",2
"Solyc01g109500",25
"Solyc01g109610",35
"Solyc01g110070",11
"Solyc01g110200",22
"Solyc01g110380",10
"Solyc01g110470",28
"Solyc01g111040",1
"Solyc01g111660",20
"Solyc01g111970",34
"Solyc02g060570",11
"Solyc02g077525",11
"Solyc02g080260",11
"Solyc02g005350",10
"Solyc02g014775",11
"Solyc02g021160",11
"Solyc02g024075",11
"Solyc02g030464",2
"Solyc02g036393",11
"Solyc02g036397",11
"Solyc00g007160",10
"Solyc02g063540",8
"Solyc02g064900",11
"Solyc02g065090",11
"Solyc02g065225",10
"Solyc02g069060",10
"Solyc02g071360",11
"Solyc02g072190",20
"Solyc02g076780",12
"Solyc02g079460",34
"Solyc02g079630",23
"Solyc02g080990",18
"Solyc02g086500",2
"Solyc02g088560",19
"Solyc02g091410",10
"Solyc02g094751",11
"Solyc02g043945",11
"Solyc02g043860",11
"Solyc02g043862",10
"Solyc02g043815",11
"Solyc02g055530",11
"Solyc02g055460",11
"Solyc02g049090",11
"Solyc02g049100",11
"Solyc02g050180",11
"Solyc02g050280",11
"Solyc02g050283",11
"Solyc02g005185",4
"Solyc02g005310",4
"Solyc02g005315",11
"Solyc02g014077",12
"Solyc02g014250",11
"Solyc02g014350",2
"Solyc02g020980",11
"Solyc02g021010",11
"Solyc02g021050",11
"Solyc02g021230",2
"Solyc02g021340",2
"Solyc02g021480",11
"Solyc02g021560",11
"Solyc02g021603",18
"Solyc02g021630",22
"Solyc02g022830",10
"Solyc02g022835",11
"Solyc02g022936",11
"Solyc02g027080",11
"Solyc02g030090",11
"Solyc02g030185",11
"Solyc02g030355",18
"Solyc02g030360",18
"Solyc02g030365",11
"Solyc02g030450",3
"Solyc02g031985",11
"Solyc02g032303",11
"Solyc02g032307",11
"Solyc02g032380",11
"Solyc02g032983",4
"Solyc02g036165",10
"Solyc02g036235",11
"Solyc02g036270",2
"Solyc02g037550",20
"Solyc02g038703",11
"Solyc00g007300",13
"Solyc00g007200",3
"Solyc02g062000",2
"Solyc02g062040",2
"Solyc02g062330",19
"Solyc02g062463",19
"Solyc02g062700",30
"Solyc02g062750",11
"Solyc02g062815",4
"Solyc02g062930",11
"Solyc02g063360",11
"Solyc02g063450",13
"Solyc02g063542",2
"Solyc02g063546",2
"Solyc02g064690",11
"Solyc02g064800",8
"Solyc02g064802",16
"Solyc02g065020",11
"Solyc02g065060",18
"Solyc02g065480",3
"Solyc02g065500",12
"Solyc02g065610",11
"Solyc02g067120",11
"Solyc02g067800",11
"Solyc02g068040",13
"Solyc02g068610",11
"Solyc02g070460",11
"Solyc02g071365",11
"Solyc02g071610",19
"Solyc02g071700",25
"Solyc02g071730",20
"Solyc02g071980",2
"Solyc02g072000",16
"Solyc02g072160",13
"Solyc02g072470",11
"Solyc02g076690",26
"Solyc02g077010",10
"Solyc02g077230",10
"Solyc02g077270",11
"Solyc02g077900",10
"Solyc02g078150",25
"Solyc02g078285",11
"Solyc02g078700",11
"Solyc02g078780",2
"Solyc02g079050",12
"Solyc02g079550",34
"Solyc02g079640",34
"Solyc02g079710",23
"Solyc02g079760",15
"Solyc02g080050",10
"Solyc02g080120",21
"Solyc02g080200",18
"Solyc02g080240",11
"Solyc02g080640",19
"Solyc02g080880",26
"Solyc02g080890",26
"Solyc02g080900",25
"Solyc02g081060",11
"Solyc02g081080",2
"Solyc02g081200",1
"Solyc02g081890",11
"Solyc02g082315",11
"Solyc02g082545",11
"Solyc02g082840",11
"Solyc02g083220",11
"Solyc02g083740",11
"Solyc02g083860",36
"Solyc02g084400",11
"Solyc02g084800",4
"Solyc02g084910",10
"Solyc02g085620",12
"Solyc02g086460",25
"Solyc02g086467",25
"Solyc02g086840",34
"Solyc02g086860",25
"Solyc02g087070",18
"Solyc02g087540",18
"Solyc02g088425",11
"Solyc02g088630",11
"Solyc02g088820",7
"Solyc02g089040",7
"Solyc02g089050",7
"Solyc02g089340",11
"Solyc02g089520",10
"Solyc02g089515",11
"Solyc02g089630",11
"Solyc02g089660",16
"Solyc02g089670",11
"Solyc02g089770",11
